id, State ,Latitude,Longitude
s001,AL,32.318231,-86.902298
s002,AR,35.2048883,-92.4479108
s003,AZ ,34.048927,-111.093735
s004,CA,36.7014631,-118.755997
s005,CO ,38.7251776,-105.607716
s006,DE ,38.6920451,-75.4013315
s007,FL,27.7567667,-81.4639835
s008,GA,32.3293809,-83.1137366
s009,HI ,19.741755,-155.844437
s010,IA ,41.9216734,-93.3122705
s011,ID ,43.6447642,-114.015407
s012,IL,40.0796606,-89.4337288
s013,IN ,40.3270127,-86.1746933
s014,MA,42.407211,-71.382439
s015,MD,39.5162401,-76.9382069
s016,ME,45.367584,-68.972168
s017,MI ,44.182205,-84.506836
s018,MO,38.7604815,-92.5617875
s019,NC ,35.6729639,-79.0392919
s020,NH ,43.4849133,-71.6553992
s021,NJ ,40.0757384,-74.4041622
s022,NV ,39.5158825,-116.8537227
s023,NY,43.1561681,-75.8449946
s024,OH ,40.2253569,-82.6881395
s025,OR ,43.9792797,-120.737257
s026,PA,40.9699889,-77.7278831
s027,SC,33.6874388,-80.4363743
s028,TN ,35.7730076,-86.2820081
s029,TX ,31.2638905,-98.5456116
s030,UT,39.4225192,-111.714358
s031,VA ,38.8907693,-77.3482828
s032,WA,47.2868352,-120.212613
